name;description;inferred_stereotype
ElectrodeAsAMeasurer;An electrode functioning as a measuring device.;role
ConductingSystemOfAtria;The system of specialized cells responsible for conducting electrical impulses in the atria of the heart.;kind
DepolarizationOfPacemakerSANodeMyocytes;The event of depolarization happening in the pacemaker cells of the sinoatrial node.;event
HisPurkinjeElectricalImpulse;Electrical impulses generated by the His-Purkinje system of the heart.;kind
SANodeMyocytesPolarized;Cardiomyocytes of the sinoatrial node in a polarized state.;situation
CEIGenerator;An entity or a system that generates cardiac electrical impulses (CEI).;roleMixin
CSAAsCEIConductor;Cardiac sinoatrial (SA) node acting as a conductor of cardiac electrical impulses (CEI).;role
Sample;A small part or quantity intended to show what the whole is like.;kind
ToConductCEI;The function or role of conducting cardiac electrical impulses.;roleMixin
Geometric Form;The geometric shape or form of an entity.;kind
Chamber;A cavity in the heart.;subkind
PRSegment;The PR segment in an electrocardiogram (ECG) representing the time between the start of atrial depolarization and ventricular depolarization.;kind
CSAMyocytesPolarized;Cardiomyocytes of the cardiac sinoatrial node in a polarized state.;situation
p.d.(mV);Potential difference measured in millivolts (mV).;quality
BodySurfaceRegionAsObjectOfMeasure;A specific region on the body surface that serves as the target for measurement.;role
CorrelatedObservationSeries;A series of observations that are correlated with each other.;subkind
PWave;The P wave in an electrocardiogram (ECG) representing atrial depolarization.;kind
TPSegment;The TP segment in an electrocardiogram (ECG) representing the period between the end of the T wave and the beginning of the next P wave.;kind
RAContraction;The event of the right atrium of the heart contracting.;event
LeftAtriumAsBloodContainer;The left atrium functioning as a container for blood.;role
Abnormal;Deviating from what is normal or usual, typically in a way that is undesirable or worrying.;quality
ElectricalPotential(mV);The electric potential energy per unit charge, measured in millivolts.;quality
CEIConductor;An entity or system that conducts cardiac electrical impulses.;roleMixin
Baseline;A minimum or starting point used for comparisons.;kind
SampleSequence;A sequence of samples taken over time.;kind
TimeDomain;The representation of a signal or data as it varies over time.;kind
RightVentricleAsBloodContainer;The right ventricle functioning as a container for blood.;role
Observation;The act of observing something or someone carefully or in order to gain information.;kind
ElementaryForm;A basic or fundamental form or shape.;kind
RWave;The R wave in an electrocardiogram (ECG) representing the primary wave of ventricular depolarization.;kind
SAElecticalImpulse;Electrical impulse generated by the sinoatrial (SA) node of the heart.;kind
LeftAtrium;The left upper chamber of the heart that receives oxygenated blood from the lungs.;kind
CSVMyocytesDepolarized;Cardiomyocytes of the cardiac specialized ventricular system in a depolarized state.;situation
LungBloodStoring;The process of the lungs storing blood.;event
BloodInLeftAtrium;Blood present within the left atrium of the heart.;situation
RepolarizationOfCSVMyocytes;The process of repolarization happening in the cardiomyocytes of the cardiac specialized ventricular system.;event
Muscle;A band or bundle of fibrous tissue in a human or animal body that has the ability to contract, producing movement in or maintaining the position of parts of the body.;kind
SANodeAsCEIConductor;Sinoatrial (SA) node acting as a conductor of cardiac electrical impulses (CEI).;role
BloodInPeripherals;Blood present in the peripheral parts of the body.;situation
Person;A human being regarded as an individual.;kind
LeftAtriumAsPump;The left atrium of the heart functioning as a pump.;role
Annotation;A note of explanation or comment added to a text or diagram.;kind
RVBloodStoring;The process of the right ventricle storing blood.;event
HeartAsPump;The heart functioning as a pump.;role
TransitionalSANodeMyocytes;Cardiomyocytes of the sinoatrial node that are in a transitional state.;kind
BloodInLungs;Blood present within the lungs.;situation
CardiacElectricalImpulse;Electrical impulses that control the heartbeat.;kind
PacemakerCells;Specialized cells in the heart that generate electrical impulses to regulate the heartbeat.;subkind
Placement;The action of putting something in a particular place or position.;kind
ECMOfSANode;Extracellular matrix (ECM) of the sinoatrial node.;kind
Period(ms);A length or portion of time, measured in milliseconds.;quantity
EPR;Electron paramagnetic resonance.;kind
QRSComplex;The QRS complex in an electrocardiogram (ECG) representing ventricular depolarization.;kind
Cycle;A series of events that are regularly repeated in the same order.;kind
ECGRecordingSession;A session during which an electrocardiogram (ECG) is recorded.;kind
LABloodStoring;The process of the left atrium storing blood.;event
LeftVentricle;The left lower chamber of the heart that receives blood from the left atrium and pumps it to the body.;kind
CSVAsEPsAccumulator;The cardiac specialized ventricular system acting as an accumulator of electrical potentials.;role
Non-ElementaryForm;A form or shape that is not basic or fundamental.;kind
ECGRecordingDevice;A device that records electrocardiograms (ECGs).;kind
LowpassFilter;An electronic filter that passes low-frequency signals.;kind
Lungs;The organs responsible for respiration.;kind
RVContraction;The event of the right ventricle of the heart contracting.;event
